first,last,addr,city,state,zip,date,prod_id,prod_desc,unit_price,qty
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2020-01-01,315,Pliers,15.99,2
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2020-01-01,301,Nail,0.25,7
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2020-01-01,320,Saw,20.99,2
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2020-01-01,312,Plane,10.99,1
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-01,315,Pliers,15.99,2
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-01,327,Ladder,80.0,7
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-01,308,Screwdriver,3.0,2
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-01,318,Hacksaw,19.99,1
Colonel Datoo,Jennings,2331 Jackson Avenue,Brooklyn,MD,21225,2020-01-01,322,Monkeywrench,29.95,2
Colonel Datoo,Jennings,2331 Jackson Avenue,Brooklyn,MD,21225,2020-01-01,309,Chisel,4.99,7
Colonel Datoo,Jennings,2331 Jackson Avenue,Brooklyn,MD,21225,2020-01-01,327,Ladder,80.0,2
Colonel Datoo,Jennings,2331 Jackson Avenue,Brooklyn,MD,21225,2020-01-01,301,Nail,0.25,1
Fode/Beed,Miller,5786 Devon Road,Collins,GA,30421,2020-01-01,304,Bolt,1.0,2
Fode/Beed,Miller,5786 Devon Road,Collins,GA,30421,2020-01-01,309,Chisel,4.99,7
Fode/Beed,Miller,5786 Devon Road,Collins,GA,30421,2020-01-01,322,Monkeywrench,29.95,2
Fode/Beed,Miller,5786 Devon Road,Collins,GA,30421,2020-01-01,308,Screwdriver,3.0,1
Biggs,Todd,5221 Hawthorne Lane,Wytopitlock,ME,04497,2020-01-02,318,Hacksaw,19.99,3
Biggs,Todd,5221 Hawthorne Lane,Wytopitlock,ME,04497,2020-01-02,326,Drill,69.0,1
Biggs,Todd,5221 Hawthorne Lane,Wytopitlock,ME,04497,2020-01-02,320,Saw,20.99,7
Mace Windu,Greene,9572 9th Street,Windsor,IL,61957,2020-01-02,314,Mallet,12.0,3
Mace Windu,Greene,9572 9th Street,Windsor,IL,61957,2020-01-02,313,Wrench,11.0,1
Mace Windu,Greene,9572 9th Street,Windsor,IL,61957,2020-01-02,326,Drill,69.0,7
Captain Antilles,Mcdaniel,6326 Heather Lane,Ohatchee,AL,36271,2020-01-02,311,Hammer,8.27,3
Captain Antilles,Mcdaniel,6326 Heather Lane,Ohatchee,AL,36271,2020-01-02,318,Hacksaw,19.99,1
Captain Antilles,Mcdaniel,6326 Heather Lane,Ohatchee,AL,36271,2020-01-02,323,Hatchet,35.99,7
Plo Koon,Ferguson,3332 Prospect Street,Clyde,NY,14433,2020-01-03,301,Nail,0.25,2
Plo Koon,Ferguson,3332 Prospect Street,Clyde,NY,14433,2020-01-03,300,Washer,0.1,5
Plo Koon,Ferguson,3332 Prospect Street,Clyde,NY,14433,2020-01-03,325,Toolbox,50.0,5
Plo Koon,Ferguson,3332 Prospect Street,Clyde,NY,14433,2020-01-03,308,Screwdriver,3.0,2
Lieutenant Mitaka,Rodriguez,3816 5th Street East,Smiths Grove,KY,42171,2020-01-03,322,Monkeywrench,29.95,2
Lieutenant Mitaka,Rodriguez,3816 5th Street East,Smiths Grove,KY,42171,2020-01-03,324,Wire,37.0,5
Lieutenant Mitaka,Rodriguez,3816 5th Street East,Smiths Grove,KY,42171,2020-01-03,311,Hammer,8.27,5
Lieutenant Mitaka,Rodriguez,3816 5th Street East,Smiths Grove,KY,42171,2020-01-03,306,Clamp,2.99,2
Rieekan,Bass,8798 Jackson Avenue,Cotulla,TX,78014,2020-01-03,315,Pliers,15.99,2
Rieekan,Bass,8798 Jackson Avenue,Cotulla,TX,78014,2020-01-03,322,Monkeywrench,29.95,5
Rieekan,Bass,8798 Jackson Avenue,Cotulla,TX,78014,2020-01-03,329,Chainsaw,499.99,5
Rieekan,Bass,8798 Jackson Avenue,Cotulla,TX,78014,2020-01-03,301,Nail,0.25,2
Jango Fett,Woodward,3710 Magnolia Court,Greenville,RI,02828,2020-01-03,321,Axe,27.99,2
Jango Fett,Woodward,3710 Magnolia Court,Greenville,RI,02828,2020-01-03,328,Workbench,300.0,5
Jango Fett,Woodward,3710 Magnolia Court,Greenville,RI,02828,2020-01-03,305,Bradawl,1.99,5
Jango Fett,Woodward,3710 Magnolia Court,Greenville,RI,02828,2020-01-03,324,Wire,37.0,2
Piett,Mcbride,4982 Franklin Court,Boise,ID,83703,2020-01-04,305,Bradawl,1.99,6
Piett,Mcbride,4982 Franklin Court,Boise,ID,83703,2020-01-04,325,Toolbox,50.0,3
Piett,Mcbride,4982 Franklin Court,Boise,ID,83703,2020-01-04,329,Chainsaw,499.99,2
Taun We,Oneill,5827 Jefferson Court,Linn,MO,65051,2020-01-04,316,Anvil,16.2,6
Taun We,Oneill,5827 Jefferson Court,Linn,MO,65051,2020-01-04,309,Chisel,4.99,3
Taun We,Oneill,5827 Jefferson Court,Linn,MO,65051,2020-01-04,310,Scraper,7.99,2
Orn Free Taa,Benson,6973 Park Avenue,Fairplay,CO,80440,2020-01-04,320,Saw,20.99,6
Orn Free Taa,Benson,6973 Park Avenue,Fairplay,CO,80440,2020-01-04,329,Chainsaw,499.99,3
Orn Free Taa,Benson,6973 Park Avenue,Fairplay,CO,80440,2020-01-04,318,Hacksaw,19.99,2
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,303,Screw,0.5,7
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,321,Axe,27.99,1
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,310,Scraper,7.99,7
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,309,Chisel,4.99,1
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,319,Paint,19.99,3
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,301,Nail,0.25,7
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,322,Monkeywrench,29.95,5
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,317,Level,16.99,2
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,328,Workbench,300.0,7
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,302,Nut,0.25,4
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,320,Saw,20.99,8
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,307,Sandpaper,3.0,8
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,311,Hammer,8.27,4
Lama Su,Garza,179 Franklin Court,Wingate,MD,21675,2020-01-05,312,Plane,10.99,4
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,315,Pliers,15.99,7
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,310,Scraper,7.99,1
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,300,Washer,0.1,7
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,302,Nut,0.25,1
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,317,Level,16.99,3
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,303,Screw,0.5,7
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,318,Hacksaw,19.99,5
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,304,Bolt,1.0,2
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,326,Drill,69.0,7
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,313,Wrench,11.0,4
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,316,Anvil,16.2,8
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,325,Toolbox,50.0,8
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,311,Hammer,8.27,4
Darth Maul,Curtis,8779 Front Street,Weston,NE,68070,2020-01-05,323,Hatchet,35.99,4
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,300,Washer,0.1,7
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,328,Workbench,300.0,1
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,313,Wrench,11.0,7
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,301,Nail,0.25,1
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,306,Clamp,2.99,3
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,323,Hatchet,35.99,7
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,308,Screwdriver,3.0,5
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,326,Drill,69.0,2
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,322,Monkeywrench,29.95,7
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,307,Sandpaper,3.0,4
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,314,Mallet,12.0,8
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,302,Nut,0.25,8
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,317,Level,16.99,4
Rabe,Rodriguez,5492 Front Street,Flippin,AR,72634,2020-01-05,320,Saw,20.99,4
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,315,Pliers,15.99,7
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,304,Bolt,1.0,1
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,329,Chainsaw,499.99,7
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,308,Screwdriver,3.0,1
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,305,Bradawl,1.99,3
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,317,Level,16.99,7
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,316,Anvil,16.2,5
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,325,Toolbox,50.0,2
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,321,Axe,27.99,7
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,314,Mallet,12.0,4
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,306,Clamp,2.99,8
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,323,Hatchet,35.99,8
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,313,Wrench,11.0,4
Rieekan,Jimenez,5165 5th Street,Rockbridge,OH,43149,2020-01-05,320,Saw,20.99,4
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,320,Saw,20.99,7
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,306,Clamp,2.99,1
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,328,Workbench,300.0,7
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,323,Hatchet,35.99,1
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,315,Pliers,15.99,3
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,311,Hammer,8.27,7
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,307,Sandpaper,3.0,5
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,313,Wrench,11.0,2
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,321,Axe,27.99,7
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,312,Plane,10.99,4
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,308,Screwdriver,3.0,8
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,317,Level,16.99,8
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,305,Bradawl,1.99,4
C-3Po,Hunt,2506 Smith Street,Mohall,ND,58761,2020-01-05,319,Paint,19.99,4
Darth Maul,Gordon,3869 Franklin Court,Harbeson,DE,19951,2020-01-05,315,Pliers,15.99,7
Darth Maul,Gordon,3869 Franklin Court,Harbeson,DE,19951,2020-01-05,318,Hacksaw,19.99,1
Darth Maul,Gordon,3869 Franklin Court,Harbeson,DE,19951,2020-01-05,328,Workbench,300.0,7
Darth Maul,Gordon,3869 Franklin Court,Harbeson,DE,19951,2020-01-05,308,Screwdriver,3.0,1
Darth Maul,Gordon,3869 Franklin Court,Harbeson,DE,19951,2020-01-05,327,Ladder,80.0,3
Darth Maul,Gordon,3869 Franklin Court,Harbeson,DE,19951,2020-01-05,307,Sandpaper,3.0,7
