first,last,addr,city,state,zip,date,prod_id,prod_desc,unit_price,qty
Lieutenant Mitaka,Elliott,6577 Inverness Drive,Lesterville,SD,57040,2020-10-01,305,Bradawl,1.99,7
Lieutenant Mitaka,Elliott,6577 Inverness Drive,Lesterville,SD,57040,2020-10-01,314,Mallet,12.0,8
Lieutenant Mitaka,Elliott,6577 Inverness Drive,Lesterville,SD,57040,2020-10-01,311,Hammer,8.27,2
Colonel Datoo,Schmidt,8706 Devonshire Drive,Pleasant Hill,CA,94523,2020-10-01,302,Nut,0.25,7
Colonel Datoo,Schmidt,8706 Devonshire Drive,Pleasant Hill,CA,94523,2020-10-01,320,Saw,20.99,8
Colonel Datoo,Schmidt,8706 Devonshire Drive,Pleasant Hill,CA,94523,2020-10-01,316,Anvil,16.2,2
Rabe,Thornton,2133 Edgewood Road,Red Lodge,MT,59068,2020-10-01,312,Plane,10.99,7
Rabe,Thornton,2133 Edgewood Road,Red Lodge,MT,59068,2020-10-01,327,Ladder,80.0,8
Rabe,Thornton,2133 Edgewood Road,Red Lodge,MT,59068,2020-10-01,304,Bolt,1.0,2
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,326,Drill,69.0,6
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,317,Level,16.99,2
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,324,Wire,37.0,6
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,308,Screwdriver,3.0,3
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,305,Bradawl,1.99,5
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,304,Bolt,1.0,8
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,315,Pliers,15.99,9
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,319,Paint,19.99,7
Rabe,Mitchell,8021 Heather Lane,Pindall,AR,72669,2020-10-02,313,Wrench,11.0,8
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,321,Axe,27.99,6
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,317,Level,16.99,2
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,325,Toolbox,50.0,6
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,312,Plane,10.99,3
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,309,Chisel,4.99,5
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,313,Wrench,11.0,8
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,328,Workbench,300.0,9
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,324,Wire,37.0,7
Unkar Plutt,Doyle,7541 William Street,Cookeville,TN,38505,2020-10-02,306,Clamp,2.99,8
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,320,Saw,20.99,6
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,305,Bradawl,1.99,2
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,314,Mallet,12.0,6
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,319,Paint,19.99,3
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,309,Chisel,4.99,5
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,325,Toolbox,50.0,8
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,304,Bolt,1.0,9
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,317,Level,16.99,7
Bala-Tik,Benson,3204 Jackson Avenue,Teller,AK,99778,2020-10-02,301,Nail,0.25,8
Obi-Wan,Todd,3002 Jackson Avenue,Margie,MN,56658,2020-10-02,308,Screwdriver,3.0,6
Obi-Wan,Todd,3002 Jackson Avenue,Margie,MN,56658,2020-10-02,328,Workbench,300.0,2
Obi-Wan,Todd,3002 Jackson Avenue,Margie,MN,56658,2020-10-02,319,Paint,19.99,6
Obi-Wan,Todd,3002 Jackson Avenue,Margie,MN,56658,2020-10-02,323,Hatchet,35.99,3
